Date,Google Searches for \"file for unemployment\"
2004-01-01,1.98
2004-02-01,0.66
2004-03-01,2.09
2004-04-01,2.09
2004-05-01,0.99
2004-06-01,1.76
2004-07-01,2.75
2004-08-01,2.31
2004-09-01,1.87
2004-10-01,1.98
2004-11-01,0
2004-12-01,2.42
2005-01-01,3.74
2005-02-01,3.52
2005-03-01,1.87
2005-04-01,1.32
2005-05-01,1.98
2005-06-01,2.75
2005-07-01,2.31
2005-08-01,3.19
2005-09-01,2.53
2005-10-01,1.87
2005-11-01,1.87
2005-12-01,1.87
2006-01-01,2.31
2006-02-01,1.98
2006-03-01,2.64
2006-04-01,1.98
2006-05-01,1.87
2006-06-01,2.86
2006-07-01,2.31
2006-08-01,2.31
2006-09-01,1.87
2006-10-01,2.2
2006-11-01,2.09
2006-12-01,1.43
2007-01-01,2.97
2007-02-01,2.31
2007-03-01,2.31
2007-04-01,1.87
2007-05-01,1.98
2007-06-01,2.2
2007-07-01,2.2
2007-08-01,2.75
2007-09-01,2.42
2007-10-01,2.42
2007-11-01,2.75
2007-12-01,3.19
2008-01-01,2.97
2008-02-01,2.97
2008-03-01,3.63
2008-04-01,3.08
2008-05-01,2.64
2008-06-01,4.07
2008-07-01,4.29
2008-08-01,4.07
2008-09-01,4.4
2008-10-01,5.5
2008-11-01,6.38
2008-12-01,9.02
2009-01-01,11
2009-02-01,9.79
2009-03-01,8.47
2009-04-01,8.8
2009-05-01,7.81
2009-06-01,9.9
2009-07-01,9.24
2009-08-01,8.14
2009-09-01,6.93
2009-10-01,8.03
2009-11-01,8.03
2009-12-01,7.26
2010-01-01,9.79
2010-02-01,8.03
2010-03-01,7.37
2010-04-01,7.26
2010-05-01,6.38
2010-06-01,6.82
2010-07-01,8.14
2010-08-01,7.81
2010-09-01,7.15
2010-10-01,6.49
2010-11-01,6.93
2010-12-01,7.59
2011-01-01,10.89
2011-02-01,9.35
2011-03-01,7.7
2011-04-01,7.59
2011-05-01,6.6
2011-06-01,8.14
2011-07-01,8.03
2011-08-01,7.48
2011-09-01,7.92
2011-10-01,8.03
2011-11-01,8.03
2011-12-01,8.14
2012-01-01,10.89
2012-02-01,8.03
2012-03-01,6.82
2012-04-01,7.59
2012-05-01,6.93
2012-06-01,7.15
2012-07-01,7.81
2012-08-01,7.59
2012-09-01,7.04
2012-10-01,6.49
2012-11-01,8.03
2012-12-01,7.48
2013-01-01,9.9
2013-02-01,7.15
2013-03-01,6.27
2013-04-01,6.93
2013-05-01,6.71
2013-06-01,6.6
2013-07-01,6.93
2013-08-01,6.38
2013-09-01,6.38
2013-10-01,8.36
2013-11-01,6.6
2013-12-01,7.37
2014-01-01,8.91
2014-02-01,6.49
2014-03-01,5.61
2014-04-01,5.94
2014-05-01,5.94
2014-06-01,6.05
2014-07-01,6.27
2014-08-01,5.28
2014-09-01,5.28
2014-10-01,5.39
2014-11-01,5.17
2014-12-01,5.94
2015-01-01,6.49
2015-02-01,5.94
2015-03-01,5.5
2015-04-01,5.39
2015-05-01,5.28
2015-06-01,6.27
2015-07-01,5.94
2015-08-01,5.83
2015-09-01,5.17
2015-10-01,5.39
2015-11-01,5.83
2015-12-01,5.72
2016-01-01,7.37
2016-02-01,6.27
2016-03-01,5.06
2016-04-01,5.17
2016-05-01,5.72
2016-06-01,6.05
2016-07-01,5.17
2016-08-01,5.28
2016-09-01,4.95
2016-10-01,5.17
2016-11-01,5.28
2016-12-01,5.94
2017-01-01,7.26
2017-02-01,5.94
2017-03-01,5.17
2017-04-01,4.95
2017-05-01,5.39
2017-06-01,5.72
2017-07-01,5.28
2017-08-01,5.5
2017-09-01,5.06
2017-10-01,5.06
2017-11-01,5.17
2017-12-01,6.27
2018-01-01,7.04
2018-02-01,5.94
2018-03-01,5.39
2018-04-01,5.28
2018-05-01,5.28
2018-06-01,5.28
2018-07-01,4.95
2018-08-01,4.84
2018-09-01,5.17
2018-10-01,5.5
2018-11-01,5.61
2018-12-01,5.94
2019-01-01,8.03
2019-02-01,6.16
2019-03-01,4.95
2019-04-01,5.5
2019-05-01,5.06
2019-06-01,5.39
2019-07-01,5.94
2019-08-01,5.28
2019-09-01,5.06
2019-10-01,5.72
2019-11-01,5.83
2019-12-01,5.94
2020-01-01,6.93
2020-02-01,5.94
2020-03-01,100
