Date,COVID-19 Cases in the US
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,6
2020-01-30,6
2020-01-31,8
2020-02-01,8
2020-02-02,8
2020-02-03,11
2020-02-04,11
2020-02-05,11
2020-02-06,12
2020-02-07,12
2020-02-08,12
2020-02-09,12
2020-02-10,12
2020-02-11,13
2020-02-12,13
2020-02-13,14
2020-02-14,14
2020-02-15,14
2020-02-16,14
2020-02-17,14
2020-02-18,14
2020-02-19,14
2020-02-20,14
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,16
2020-02-25,16
2020-02-26,16
2020-02-27,17
2020-02-28,17
2020-02-29,25
2020-03-01,32
2020-03-02,55
2020-03-03,74
2020-03-04,107
2020-03-05,184
2020-03-06,237
2020-03-07,403
2020-03-08,519
2020-03-09,594
2020-03-10,782
2020-03-11,1147
2020-03-12,1586
2020-03-13,2219
