Date,Approval Rating (%)
2017-05-01,62.0
2017-06-01,64.0
2017-07-01,54.0
2017-08-01,40.0
2017-09-01,45.0
2017-10-01,42.0
2017-11-01,46.0
2017-12-01,52.0
2018-01-01,50.0
2018-02-01,44.0
2018-03-01,42.0
2018-04-01,44.0
2018-05-01,41.0
2018-06-01,40.0
2018-07-01,39.0
2018-08-01,34.0
2018-09-01,29.0
2018-10-01,29.0
2018-11-01,25.0
2018-12-01,23.0
2019-01-01,27.0
2019-02-01,28.0
2019-03-01,29.0
2019-04-01,29.0
2019-05-01,30.0
2019-06-01,30.0
2019-07-01,32.0
2019-08-01,34.0
2019-09-01,33.0
2019-10-01,34.0
2019-11-01,33.0
2019-12-01,34.0
2020-01-01,30.0
2020-02-01,32.0
2020-03-01,43.0
