Date,Public debt as percentage of GDP
1966-01-01,40.33999
1966-04-01,39.26763
1966-07-01,39.62091
1966-10-01,39.51977
1967-01-01,39.20383
1967-04-01,38.03292
1967-07-01,38.82145
1967-10-01,39.10231
1968-01-01,38.42951
1968-04-01,36.96379
1968-07-01,37.30897
1968-10-01,36.98532
1969-01-01,36.19577
1969-04-01,34.97403
1969-07-01,35.01946
1969-10-01,35.46954
1970-01-01,35.38879
1970-04-01,34.67329
1970-07-01,34.86717
1970-10-01,35.74822
1971-01-01,34.50345
1971-04-01,34.36089
1971-07-01,35.00694
1971-10-01,35.63237
1972-01-01,34.72622
1972-04-01,33.67383
1972-07-01,33.62447
1972-10-01,33.74758
1973-01-01,33.29287
1973-04-01,32.34466
1973-07-01,32.12455
1973-10-01,31.77379
1974-01-01,31.76449
1974-04-01,30.99462
1974-07-01,30.86269
1974-10-01,30.79768
1975-01-01,31.53604
1975-04-01,32.27817
1975-07-01,32.38043
1975-10-01,32.7301
1976-01-01,32.98513
1976-04-01,33.49464
1976-07-01,33.64333
1976-10-01,33.78753
1977-01-01,33.65136
1977-04-01,32.80422
1977-07-01,32.98791
1977-10-01,33.21873
1978-01-01,33.5012
1978-04-01,32.12444
1978-07-01,32.21407
1978-10-01,31.86206
1979-01-01,31.53601
1979-04-01,31.06277
1979-07-01,30.98402
1979-10-01,31.02615
1980-01-01,30.94982
1980-04-01,31.37303
1980-07-01,31.77687
1980-10-01,31.157
1981-01-01,30.87284
1981-04-01,30.70875
1981-07-01,30.60333
1981-10-01,31.35587
1982-01-01,32.41298
1982-04-01,32.40213
1982-07-01,33.9253
1982-10-01,35.18156
1983-01-01,35.82911
1983-04-01,36.87167
1983-07-01,37.3311
1983-10-01,37.17553
1984-01-01,37.45447
1984-04-01,37.72687
1984-07-01,38.49586
1984-10-01,40.08547
1985-01-01,40.44121
1985-04-01,41.31983
1985-07-01,41.55909
1985-10-01,43.78715
1986-01-01,44.07415
1986-04-01,45.30682
1986-07-01,46.12536
1986-10-01,47.55286
1987-01-01,47.57835
1987-04-01,48.04867
1987-07-01,48.1165
1987-10-01,48.55667
1988-01-01,49.03151
1988-04-01,49.08744
1988-07-01,49.25732
1988-10-01,49.71548
1989-01-01,49.73276
1989-04-01,49.8876
1989-07-01,50.17117
1989-10-01,51.38111
1990-01-01,51.96856
1990-04-01,52.7473
1990-07-01,53.75313
1990-10-01,56.03613
1991-01-01,57.41652
1991-04-01,57.74551
1991-07-01,59.06123
1991-10-01,60.68599
1992-01-01,60.99679
1992-04-01,61.57938
1992-07-01,61.89802
1992-10-01,62.52256
1993-01-01,62.86657
1993-04-01,63.91524
1993-07-01,64.10093
1993-10-01,64.66861
1994-01-01,64.30709
1994-04-01,64.10716
1994-07-01,64.01176
1994-10-01,64.38584
1995-01-01,64.66271
1995-04-01,65.31294
1995-07-01,64.73906
1995-10-01,64.18282
1996-01-01,65.04171
1996-04-01,64.2497
1996-07-01,64.25469
1996-10-01,64.44697
1997-01-01,64.34428
1997-04-01,63.10907
1997-07-01,62.48709
1997-10-01,62.77032
1998-01-01,62.50988
1998-04-01,61.85196
1998-07-01,60.58693
1998-10-01,60.40696
1999-01-01,60.04894
1999-04-01,59.19227
1999-07-01,58.39258
1999-10-01,58.34336
2000-01-01,57.72134
2000-04-01,55.48491
2000-07-01,54.99213
2000-10-01,54.2579
2001-01-01,55.14434
2001-04-01,54.03165
2001-07-01,54.79763
2001-10-01,55.75216
2002-01-01,55.6965
2002-04-01,56.27087
2002-07-01,56.7026
2002-10-01,57.91028
2003-01-01,57.81906
2003-04-01,58.96101
2003-07-01,58.64541
2003-10-01,59.44466
2004-01-01,59.8071
2004-04-01,60.05487
2004-07-01,59.96643
2004-10-01,60.63713
2005-01-01,60.91302
2005-04-01,60.64153
2005-07-01,60.35856
2005-10-01,61.32008
2006-01-01,61.55642
2006-04-01,61.22142
2006-07-01,61.3328
2006-10-01,61.82689
2007-01-01,62.25297
2007-04-01,61.57219
2007-07-01,61.84826
2007-10-01,62.71924
2008-01-01,64.17278
2008-04-01,63.85172
2008-07-01,67.28455
2008-10-01,73.24516
2009-01-01,77.10496
2009-04-01,80.28013
2009-07-01,82.42733
2009-10-01,84.02935
2010-01-01,86.51175
2010-04-01,88.12832
2010-07-01,89.56529
2010-10-01,91.61136
2011-01-01,92.95617
2011-04-01,92.19383
2011-07-01,94.52097
2011-10-01,96.09067
2012-01-01,97.12296
2012-04-01,97.82754
2012-07-01,98.44787
2012-10-01,100.07517
2013-01-01,100.85592
2013-04-01,100.23216
2013-07-01,98.97766
2013-10-01,100.13427
2014-01-01,102.6653
2014-04-01,100.97295
2014-07-01,100.45563
2014-10-01,101.61828
2015-01-01,100.89325
2015-04-01,99.77075
2015-07-01,99.146
2015-10-01,103.21895
2016-01-01,104.55696
2016-04-01,104.13706
2016-07-01,104.25015
2016-10-01,105.31835
2017-01-01,103.61549
2017-04-01,102.69956
2017-07-01,103.50845
