Date,Inbound Tourists
1990-01-01,3235860.0
1991-01-01,3532651.0
1992-01-01,3581540.0
1993-01-01,3410447.0
1994-01-01,3468055.0
1995-01-01,3345274.0
1996-01-01,3837113.0
1997-01-01,4218208.0
1998-01-01,4106057.0
1999-01-01,4437863.0
2000-01-01,4757146.0
2001-01-01,4771555.0
2002-01-01,5238963.0
2003-01-01,5211725.0
2004-01-01,6137905.0
2005-01-01,6727926.0
2006-01-01,7334077.0
2007-01-01,8346969.0
2008-01-01,8350835.0
2009-01-01,6789658.0
2010-01-01,8611175.0
2011-01-01,6218752.0
2012-01-01,8358105.0
2013-01-01,10363904.0
2014-01-01,13413467.0
2015-01-01,19737409.0
2016-01-01,24039700.0
2017-01-01,28690900.0
