Date,Chinese Yuan / US Dollar Exchange Rate
1981-01-01,1.5518
1981-02-01,1.6131
1981-03-01,1.6314
1981-04-01,1.666
1981-05-01,1.727
1981-06-01,1.7605
1981-07-01,1.7647
1981-08-01,1.8003
1981-09-01,1.7542
1981-10-01,1.7576
1981-11-01,1.7409
1981-12-01,1.7405
1982-01-01,1.7713
1982-02-01,1.82
1982-03-01,1.8429
1982-04-01,1.8565
1982-05-01,1.8123
1982-06-01,1.9014
1982-07-01,1.93
1982-08-01,1.9432
1982-09-01,1.9567
1982-10-01,1.9887
1982-11-01,2.0002
1982-12-01,1.9445
1983-01-01,1.9238
1983-02-01,1.9653
1983-03-01,1.9834
1983-04-01,1.9938
1983-05-01,1.9895
1983-06-01,1.9949
1983-07-01,1.9966
1983-08-01,1.9843
1983-09-01,1.9867
1983-10-01,1.9664
1983-11-01,1.994
1983-12-01,1.992
1984-01-01,2.049
1984-02-01,2.0628
1984-03-01,2.0646
1984-04-01,2.0929
1984-05-01,2.1866
1984-06-01,2.2178
1984-07-01,2.2996
1984-08-01,2.3718
1984-09-01,2.5469
1984-10-01,2.6488
1984-11-01,2.6785
1984-12-01,2.7953
1985-01-01,2.816
1985-02-01,2.8347
1985-03-01,2.8533
1985-04-01,2.848
1985-05-01,2.8556
1985-06-01,2.8693
1985-07-01,2.8809
1985-08-01,2.9093
1985-09-01,2.9722
1985-10-01,3.0782
1985-11-01,3.2086
1985-12-01,3.2095
1986-01-01,3.2095
1986-02-01,3.2152
1986-03-01,3.2202
1986-04-01,3.2143
1986-05-01,3.2014
1986-06-01,3.2115
1986-07-01,3.6435
1986-08-01,3.7129
1986-09-01,3.715
1986-10-01,3.7257
1986-11-01,3.7314
1986-12-01,3.7314
1987-01-01,3.7314
1987-02-01,3.7314
1987-03-01,3.7314
1987-04-01,3.7314
1987-05-01,3.7314
1987-06-01,3.7314
1987-07-01,3.7314
1987-08-01,3.7314
1987-09-01,3.7314
1987-10-01,3.7314
1987-11-01,3.7314
1987-12-01,3.7314
1988-01-01,3.7314
1988-02-01,3.7314
1988-03-01,3.7314
1988-04-01,3.7314
1988-05-01,3.7314
1988-06-01,3.7314
1988-07-01,3.7314
1988-08-01,3.7314
1988-09-01,3.7314
1988-10-01,3.7314
1988-11-01,3.7314
1988-12-01,3.7314
1989-01-01,3.7314
1989-02-01,3.7314
1989-03-01,3.7314
1989-04-01,3.7314
1989-05-01,3.7314
1989-06-01,3.7314
1989-07-01,3.7314
1989-08-01,3.7314
1989-09-01,3.7314
1989-10-01,3.7314
1989-11-01,3.7314
1989-12-01,4.1825
1990-01-01,4.7339
1990-02-01,4.7339
1990-03-01,4.7339
1990-04-01,4.7339
1990-05-01,4.7339
1990-06-01,4.7339
1990-07-01,4.7339
1990-08-01,4.7339
1990-09-01,4.7342
1990-10-01,4.7339
1990-11-01,4.9714
1990-12-01,5.2352
1991-01-01,5.2352
1991-02-01,5.2352
1991-03-01,5.2352
1991-04-01,5.2767
1991-05-01,5.3257
1991-06-01,5.3667
1991-07-01,5.3693
1991-08-01,5.3725
1991-09-01,5.3869
1991-10-01,5.3917
1991-11-01,5.3994
1991-12-01,5.4232
1992-01-01,5.4618
1992-02-01,5.4776
1992-03-01,5.4871
1992-04-01,5.5098
1992-05-01,5.5182
1992-06-01,5.4893
1992-07-01,5.4564
1992-08-01,5.4417
1992-09-01,5.5048
1992-10-01,5.5486
1992-11-01,5.6134
1992-12-01,5.8106
1993-01-01,5.7796
1993-02-01,5.7874
1993-03-01,5.7455
1993-04-01,5.7202
1993-05-01,5.7392
1993-06-01,5.7504
1993-07-01,5.7756
1993-08-01,5.7906
1993-09-01,5.8015
1993-10-01,5.8013
1993-11-01,5.8086
1993-12-01,5.821
1994-01-01,8.7219
1994-02-01,8.7249
1994-03-01,8.7241
1994-04-01,8.7251
1994-05-01,8.6859
1994-06-01,8.6836
1994-07-01,8.6605
1994-08-01,8.6072
1994-09-01,8.5581
1994-10-01,8.5492
1994-11-01,8.537
1994-12-01,8.5033
1995-01-01,8.4608
1995-02-01,8.4553
1995-03-01,8.4483
1995-04-01,8.4421
1995-05-01,8.337
1995-06-01,8.3206
1995-07-01,8.3207
1995-08-01,8.3253
1995-09-01,8.3374
1995-10-01,8.3353
1995-11-01,8.3334
1995-12-01,8.335
1996-01-01,8.3384
1996-02-01,8.3338
1996-03-01,8.3495
1996-04-01,8.3515
1996-05-01,8.3479
1996-06-01,8.3424
1996-07-01,8.3409
1996-08-01,8.3379
1996-09-01,8.3341
1996-10-01,8.3299
1996-11-01,8.3294
1996-12-01,8.329
1997-01-01,8.326
1997-02-01,8.3227
1997-03-01,8.3258
1997-04-01,8.3257
1997-05-01,8.3229
1997-06-01,8.3224
1997-07-01,8.3162
1997-08-01,8.3187
1997-09-01,8.3171
1997-10-01,8.3135
1997-11-01,8.3109
1997-12-01,8.3099
1998-01-01,8.3094
1998-02-01,8.3072
1998-03-01,8.3076
1998-04-01,8.3058
1998-05-01,8.3084
1998-06-01,8.31
1998-07-01,8.31
1998-08-01,8.31
1998-09-01,8.3055
1998-10-01,8.2778
1998-11-01,8.2778
1998-12-01,8.278
1999-01-01,8.2789
1999-02-01,8.2781
1999-03-01,8.2792
1999-04-01,8.2792
1999-05-01,8.2785
1999-06-01,8.278
1999-07-01,8.2776
1999-08-01,8.2772
1999-09-01,8.2774
1999-10-01,8.2775
1999-11-01,8.2782
1999-12-01,8.2794
2000-01-01,8.2792
2000-02-01,8.2781
2000-03-01,8.2786
2000-04-01,8.2793
2000-05-01,8.2781
2000-06-01,8.2772
2000-07-01,8.2794
2000-08-01,8.2796
2000-09-01,8.2785
2000-10-01,8.2785
2000-11-01,8.2774
2000-12-01,8.2771
2001-01-01,8.2776
2001-02-01,8.2771
2001-03-01,8.2775
2001-04-01,8.2771
2001-05-01,8.277
2001-06-01,8.277
2001-07-01,8.2769
2001-08-01,8.277
2001-09-01,8.2768
2001-10-01,8.2768
2001-11-01,8.2769
2001-12-01,8.2764
2002-01-01,8.2771
2002-02-01,8.2767
2002-03-01,8.2773
2002-04-01,8.2772
2002-05-01,8.277
2002-06-01,8.2767
2002-07-01,8.2768
2002-08-01,8.2767
2002-09-01,8.277
2002-10-01,8.2772
2002-11-01,8.2772
2002-12-01,8.2777
2003-01-01,8.2775
2003-02-01,8.278
2003-03-01,8.2773
2003-04-01,8.2772
2003-05-01,8.2769
2003-06-01,8.2771
2003-07-01,8.2773
2003-08-01,8.277
2003-09-01,8.2772
2003-10-01,8.2768
2003-11-01,8.2769
2003-12-01,8.277
2004-01-01,8.277
2004-02-01,8.2771
2004-03-01,8.2771
2004-04-01,8.2769
2004-05-01,8.2771
2004-06-01,8.2767
2004-07-01,8.2767
2004-08-01,8.2768
2004-09-01,8.2767
2004-10-01,8.2765
2004-11-01,8.2765
2004-12-01,8.2765
2005-01-01,8.2765
2005-02-01,8.2765
2005-03-01,8.2765
2005-04-01,8.2765
2005-05-01,8.2765
2005-06-01,8.2765
2005-07-01,8.2264
2005-08-01,8.1017
2005-09-01,8.0919
2005-10-01,8.0895
2005-11-01,8.084
2005-12-01,8.0755
2006-01-01,8.0654
2006-02-01,8.0512
2006-03-01,8.035
2006-04-01,8.0143
2006-05-01,8.0131
2006-06-01,8.0042
2006-07-01,7.9897
2006-08-01,7.9722
2006-09-01,7.9334
2006-10-01,7.9018
2006-11-01,7.8622
2006-12-01,7.8219
2007-01-01,7.7876
2007-02-01,7.7502
2007-03-01,7.7369
2007-04-01,7.7247
2007-05-01,7.6773
2007-06-01,7.6333
2007-07-01,7.5757
2007-08-01,7.5734
2007-09-01,7.521
2007-10-01,7.5019
2007-11-01,7.421
2007-12-01,7.3682
2008-01-01,7.2405
2008-02-01,7.1644
2008-03-01,7.0722
2008-04-01,6.9997
2008-05-01,6.9725
2008-06-01,6.8993
2008-07-01,6.8355
2008-08-01,6.8462
2008-09-01,6.8307
2008-10-01,6.8358
2008-11-01,6.8281
2008-12-01,6.8539
2009-01-01,6.836
2009-02-01,6.8363
2009-03-01,6.836
2009-04-01,6.8306
2009-05-01,6.8235
2009-06-01,6.8334
2009-07-01,6.8317
2009-08-01,6.8323
2009-09-01,6.8277
2009-10-01,6.8267
2009-11-01,6.8271
2009-12-01,6.8275
2010-01-01,6.8269
2010-02-01,6.8285
2010-03-01,6.8262
2010-04-01,6.8256
2010-05-01,6.8275
2010-06-01,6.8184
2010-07-01,6.7762
2010-08-01,6.7873
