Date, Median single-family home prices in King County
2005-01-01, 287229.86
2005-01-09, 287229.86
2005-01-17, 288998.04
2005-01-25, 289587.43
2005-02-02, 291944.99
2005-02-11, 293713.16
2005-02-19, 294891.94
2005-02-27, 299017.68
2005-03-07, 304322.20
2005-03-15, 307269.16
2005-03-24, 307269.16
2005-04-01, 307858.55
2005-04-09, 309037.33
2005-04-17, 309626.72
2005-04-25, 311984.28
2005-05-04, 313163.06
2005-05-12, 315520.63
2005-05-20, 318467.58
2005-05-28, 319646.37
2005-06-06, 320235.76
2005-06-14, 321414.54
2005-06-22, 321414.54
2005-06-30, 320235.76
2005-07-08, 320235.76
2005-07-17, 320235.76
2005-07-25, 320235.76
2005-08-02, 320235.76
2005-08-10, 320235.76
2005-08-18, 320235.76
2005-08-27, 319646.37
2005-09-04, 317878.19
2005-09-12, 317878.19
2005-09-20, 319056.97
2005-09-29, 320825.15
2005-10-07, 323772.10
2005-10-15, 325540.28
2005-10-23, 325540.28
2005-10-31, 325540.28
2005-11-09, 324361.49
2005-11-17, 323182.71
2005-11-25, 322593.32
2005-12-03, 322593.32
2005-12-11, 323772.10
2005-12-20, 323772.10
2005-12-28, 324361.49
2006-01-05, 319646.37
2006-01-13, 314341.85
2006-01-21, 313163.06
2006-01-30, 313752.46
2006-02-07, 316110.02
2006-02-15, 322003.93
2006-02-23, 327308.45
2006-03-04, 339096.27
2006-03-12, 349115.91
2006-03-20, 352652.26
2006-03-28, 356778.00
2006-04-05, 359724.95
2006-04-14, 360903.73
2006-04-22, 362082.51
2006-04-30, 362082.51
2006-05-08, 362082.51
2006-05-16, 362671.91
2006-05-25, 363850.69
2006-06-02, 365618.86
2006-06-10, 366797.64
2006-06-18, 369744.60
2006-06-27, 369155.21
2006-07-05, 369155.21
2006-07-13, 369155.21
2006-07-21, 369744.60
2006-07-29, 371512.77
2006-08-07, 373280.94
2006-08-15, 375049.12
2006-08-23, 375638.51
2006-08-31, 375638.51
2006-09-08, 376227.90
2006-09-17, 376227.90
2006-09-25, 377406.68
2006-10-03, 377996.07
2006-10-11, 378585.46
2006-10-20, 377406.68
2006-10-28, 377406.68
2006-11-05, 377406.68
2006-11-13, 377406.68
2006-11-21, 378585.46
2006-11-30, 380943.03
2006-12-08, 380353.63
2006-12-16, 382711.20
2006-12-24, 386247.54
2007-01-01, 389783.89
2007-01-10, 392730.84
2007-01-18, 396856.58
2007-01-26, 400982.32
2007-02-03, 404518.66
2007-02-11, 406876.23
2007-02-20, 409233.79
2007-02-28, 411001.96
2007-03-08, 413359.53
2007-03-16, 416306.48
2007-03-25, 417485.27
2007-04-02, 418074.66
2007-04-10, 418074.66
2007-04-18, 418074.66
2007-04-26, 418074.66
2007-05-05, 418074.66
2007-05-13, 416306.48
2007-05-21, 414538.31
2007-05-29, 412180.75
2007-06-06, 411001.96
2007-06-15, 411001.96
2007-06-23, 411591.36
2007-07-01, 413948.92
2007-07-09, 418664.05
2007-07-18, 419253.44
2007-07-26, 419842.83
2007-08-03, 419842.83
2007-08-11, 418664.05
2007-08-19, 419842.83
2007-08-28, 420432.22
2007-09-05, 420432.22
2007-09-13, 417485.27
2007-09-21, 415717.09
2007-09-29, 415127.70
2007-10-08, 414538.31
2007-10-16, 414538.31
2007-10-24, 414538.31
2007-11-01, 415717.09
2007-11-10, 418074.66
2007-11-18, 421021.61
2007-11-26, 425736.74
2007-12-04, 431630.65
2007-12-12, 438113.95
2007-12-21, 441650.29
2007-12-29, 444007.86
2008-01-06, 445776.03
2008-01-14, 448133.60
2008-01-22, 449312.38
2008-01-31, 449901.77
2008-02-08, 449901.77
2008-02-16, 450491.16
2008-02-24, 451669.94
2008-03-03, 452848.72
2008-03-12, 454616.90
2008-03-20, 456974.46
2008-03-28, 456974.46
2008-04-05, 455795.68
2008-04-14, 451080.55
2008-04-22, 444007.86
2008-04-30, 439292.73
2008-05-08, 435756.39
2008-05-16, 432809.43
2008-05-25, 429862.48
2008-06-02, 427504.91
2008-06-10, 425147.35
2008-06-18, 422789.78
2008-06-26, 421021.61
2008-07-05, 419253.44
2008-07-13, 418664.05
2008-07-21, 418664.05
2008-07-29, 418074.66
2008-08-07, 418074.66
2008-08-15, 418074.66
2008-08-23, 418074.66
2008-08-31, 416895.87
2008-09-08, 416306.48
2008-09-17, 415717.09
2008-09-25, 414538.31
2008-10-03, 414538.31
2008-10-11, 414538.31
2008-10-19, 418074.66
2008-10-28, 421021.61
2008-11-05, 423379.17
2008-11-13, 424557.96
2008-11-21, 426326.13
2008-11-30, 426915.52
2008-12-08, 426326.13
2008-12-16, 424557.96
2008-12-24, 424557.96
2009-01-01, 424557.96
2009-01-10, 425736.74
2009-01-18, 429273.08
2009-01-26, 428683.69
2009-02-03, 427504.91
2009-02-11, 425147.35
2009-02-20, 419842.83
2009-02-28, 414538.31
2009-03-08, 412180.75
2009-03-16, 408644.40
2009-03-24, 406286.84
2009-04-02, 400982.32
2009-04-10, 395088.41
2009-04-18, 390373.28
2009-04-26, 384479.37
2009-05-05, 383300.59
2009-05-13, 381532.42
2009-05-21, 380943.03
2009-05-29, 380353.63
2009-06-06, 381532.42
2009-06-15, 382711.20
2009-06-23, 383300.59
2009-07-01, 383300.59
2009-07-09, 380943.03
2009-07-17, 376227.90
2009-07-26, 373870.33
2009-08-03, 370923.38
2009-08-11, 367387.03
2009-08-19, 364440.08
2009-08-28, 362082.51
2009-09-05, 358546.17
2009-09-13, 355599.21
2009-09-21, 354420.43
2009-09-29, 354420.43
2009-10-08, 355599.21
