Date,North Korea's GDP per capita
1950-01-01,745.8167331
1951-01-01,619.123506
1952-01-01,657.3705179
1953-01-01,843.8247012
1954-01-01,884.4621514
1955-01-01,920.3187251
1956-01-01,904.7808765
1957-01-01,950.1992032
1958-01-01,971.7131474
1959-01-01,978.8844622
1960-01-01,965.7370518
1961-01-01,982.4701195
1962-01-01,980.0796813
1963-01-01,1036.25498
1964-01-01,1094.820717
1965-01-01,1131.87251
1966-01-01,1235.856574
1967-01-01,1295.61753
1968-01-01,1427.091633
1969-01-01,1606.374502
1970-01-01,1706.772908
1971-01-01,1823.904382
1972-01-01,1956.573705
1973-01-01,2104.780876
1974-01-01,2270.916335
1975-01-01,2458.565737
1976-01-01,2514.741036
1977-01-01,2575.697211
1978-01-01,2639.043825
1979-01-01,2703.585657
1980-01-01,2766.932271
1981-01-01,2823.10757
1982-01-01,2882.868526
1983-01-01,2942.629482
1984-01-01,3003.585657
1985-01-01,3064.541833
1986-01-01,3058.565737
1987-01-01,3051.394422
1988-01-01,3044.223108
1989-01-01,3034.661355
1990-01-01,2855.378486
1991-01-01,2682.071713
1992-01-01,2447.808765
1993-01-01,2297.211155
1994-01-01,2219.521912
1995-01-01,2097.609562
1996-01-01,2007.968127
1997-01-01,1866.932271
1998-01-01,1846.613546
1999-01-01,1949.40239
2000-01-01,1941.035857
2001-01-01,1997.211155
2002-01-01,2005.577689
2003-01-01,2027.091633
2004-01-01,2055.776892
2005-01-01,2120.318725
2006-01-01,2085.657371
2007-01-01,2048.605578
2008-01-01,2100
2009-01-01,2068.924303
2010-01-01,2047.410359
2011-01-01,2053.386454
2012-01-01,2068.924303
2013-01-01,2079.681275
2014-01-01,2090.438247
2015-01-01,2055.776892
2016-01-01,2082.071713
