Date,Net Capital Flow ($)
1960-01-01,980347472.6834803
1961-01-01,920709669.9018308
1962-01-01,880689020.3517892
1963-01-01,1040262090.1626583
1964-01-01,1073259813.9382207
1965-01-01,1039524404.6918
1966-01-01,960464630.3324225
1967-01-01,936393645.1968787
1968-01-01,897991700.6318716
1969-01-01,735988164.4457182
1970-01-01,792589805.1516212
1971-01-01,818197019.8159202
1972-01-01,869680541.9103136
1973-01-01,981504312.9946401
1974-01-01,983107331.8871197
1975-01-01,896331540.7431915
1976-01-01,993881332.1751795
1977-01-01,984402344.2903775
1978-01-01,1049953438.8524688
1979-01-01,1253973629.117112
1980-01-01,1297427448.6671543
1981-01-01,1435987245.1441069
1982-01-01,1447614796.546168
1983-01-01,1365971623.5851521
1984-01-01,1384350105.0990381
1985-01-01,1233297744.7168946
1986-01-01,1362698688.6857634
1987-01-01,1457922360.7989275
1988-01-01,1406373765.9243064
1989-01-01,1205575993.7859144
1990-01-01,1134750395.6488743
1991-01-01,1307065553.4373207
1992-01-01,1461907454.918364
1993-01-01,1497213676.4753585
1994-01-01,1423944872.5851948
1995-01-01,1600000000.0
1996-01-01,1376064679.0094695
1997-01-01,1429758886.3907347
1998-01-01,1313133118.4708936
1999-01-01,1003090650.1631688
2000-01-01,879943472.1324092
2001-01-01,837855022.2284108
2002-01-01,745105863.4248763
2003-01-01,779292302.393074
2004-01-01,535998092.1695717
2005-01-01,400000000.0
2006-01-01,470837035.726981
2007-01-01,490938701.6798864
2008-01-01,528861527.4673044
2009-01-01,805424404.8018348
2010-01-01,909069597.3680842
