Date,Median Housing Price ($)
1980-01-01,55075.32211072758
1981-01-01,53916.664967273355
1982-01-01,53722.72506865713
1983-01-01,52145.002537132794
1984-01-01,52089.335821185356
1985-01-01,52789.41021415837
1986-01-01,50000.0
1987-01-01,52608.09155352136
1988-01-01,53810.96883226927
1989-01-01,54023.24822128069
1990-01-01,53487.90292453396
1991-01-01,56099.98761084668
1992-01-01,58256.839907953814
1993-01-01,56773.45296766941
1994-01-01,56350.00866413532
1995-01-01,55871.69653806864
1996-01-01,58797.130365590856
1997-01-01,59691.58677215689
1998-01-01,62021.3744028923
1999-01-01,63898.65734047647
2000-01-01,63295.88709572681
2001-01-01,67270.65670380689
2002-01-01,68151.76693547165
2003-01-01,70234.62282177398
2004-01-01,71211.26949189646
2005-01-01,68315.80984355557
2006-01-01,67862.10039305748
2007-01-01,64315.00480099916
2008-01-01,61891.29196207995
2009-01-01,107715.7129207656
2010-01-01,200000.0
