Date,Number of Crimes
1960-01-01,9650.904707875095
1961-01-01,9645.728233707732
1962-01-01,9587.591782307572
1963-01-01,9583.026127421617
1964-01-01,9537.60450577295
1965-01-01,9644.320424312915
1966-01-01,9687.522802435129
1967-01-01,9692.747839401858
1968-01-01,9613.114184274214
1969-01-01,9511.127514007263
1970-01-01,9555.00061193483
1971-01-01,9627.93668213617
1972-01-01,9662.21519890218
1973-01-01,9749.06355675696
1974-01-01,9734.249448064174
1975-01-01,9704.902722948855
1976-01-01,9698.587685270137
1977-01-01,9599.485440533395
1978-01-01,9873.455812822876
1979-01-01,10000.0
1980-01-01,9901.75821621439
1981-01-01,9866.562217729224
1982-01-01,9798.78500255703
1983-01-01,9630.514842145269
1984-01-01,9631.179618617378
1985-01-01,9389.066100441563
1986-01-01,9294.88250069956
1987-01-01,9222.09578577011
1988-01-01,9242.345444564078
1989-01-01,9327.212110627795
1990-01-01,9368.304144109234
1991-01-01,9359.685595203713
1992-01-01,9318.381893868795
1993-01-01,9353.232456400465
1994-01-01,9307.070399711698
1995-01-01,9187.91617691239
1996-01-01,9062.272007674608
1997-01-01,9062.05220538375
1998-01-01,8997.396557947266
1999-01-01,9067.864798973009
2000-01-01,9161.701995511738
2001-01-01,9153.661114471102
2002-01-01,9244.0237951913
2003-01-01,9140.702623571106
2004-01-01,9350.877580734412
2005-01-01,9430.481441280703
2006-01-01,9364.688972145002
2007-01-01,9431.302206862054
2008-01-01,7563.944085117864
2009-01-01,4044.221154481371
2010-01-01,1000.0
