Date,Number of Crimes
1970-01-01,1000.0
1971-01-01,1950.669260904934
1972-01-01,2287.0070881319725
1973-01-01,2429.828489044381
1974-01-01,2703.498809258755
1975-01-01,2679.6641765758563
1976-01-01,2882.0572850774643
1977-01-01,3053.1681224263943
1978-01-01,3205.6299511527673
1979-01-01,3297.974459515133
1980-01-01,3451.6287638098042
1981-01-01,3697.7896095476026
1982-01-01,3883.653708697911
1983-01-01,4082.2594071858985
1984-01-01,4056.9335202785473
1985-01-01,4131.035361329565
1986-01-01,4334.185182053467
1987-01-01,4455.2591137737145
1988-01-01,4611.134708111871
1989-01-01,4734.292571853717
1990-01-01,4694.492187083776
1991-01-01,5034.5246933304725
1992-01-01,5181.138990697122
1993-01-01,5245.325091577731
1994-01-01,5552.719754272361
1995-01-01,5818.439681520192
1996-01-01,5983.144666061559
1997-01-01,6228.550552618942
1998-01-01,6380.506508786711
1999-01-01,6552.291114478407
2000-01-01,6608.881154127187
2001-01-01,6776.29239932506
2002-01-01,7083.883533429163
2003-01-01,7164.82391910877
2004-01-01,7279.7737795635185
2005-01-01,7549.552500154382
2006-01-01,7653.158996384949
2007-01-01,7910.9746550828795
2008-01-01,8074.167768275716
2009-01-01,8341.8927494904
2010-01-01,8559.178634896864
2011-01-01,8679.390180905544
2012-01-01,8887.7530908907
2013-01-01,9096.706034476618
2014-01-01,9277.252198513992
2015-01-01,9482.154645423565
2016-01-01,9681.619792911746
2017-01-01,9804.061085315705
2018-01-01,9880.416050921916
2019-01-01,9899.027273572921
2020-01-01,10000.0
