Date,Unemployment
1970-01-01,4609848.43081492
1971-01-01,2248352.613548149
1972-01-01,1000.0
1973-01-01,283428.43771698774
1974-01-01,577193.8138209777
1975-01-01,855200.8963233341
1976-01-01,1184401.198363302
1977-01-01,1473586.4909356749
1978-01-01,1668673.2523261826
1979-01-01,1868369.4775528132
1980-01-01,2189321.2107054344
1981-01-01,2408154.4192784685
1982-01-01,2706087.6733153667
1983-01-01,3015558.221799861
1984-01-01,3277985.8895690236
1985-01-01,3600027.4545148956
1986-01-01,3809684.4513896084
1987-01-01,3959662.851525674
1988-01-01,4210077.822184907
1989-01-01,4389222.179536869
1990-01-01,4682813.636749996
1991-01-01,4957547.455159083
1992-01-01,5071090.786840406
1993-01-01,5340446.795193792
1994-01-01,5693755.417360927
1995-01-01,5956612.790140543
1996-01-01,6265422.615073179
1997-01-01,6406497.757273524
1998-01-01,6588417.563632848
1999-01-01,6853160.665940478
2000-01-01,7081848.94796547
2001-01-01,7397542.995270899
2002-01-01,7760539.248177803
2003-01-01,8071056.6404023
2004-01-01,8267713.948781232
2005-01-01,8516400.516331004
2006-01-01,8783835.426182162
2007-01-01,9074377.71205451
2008-01-01,9379113.603026949
2009-01-01,9704391.379570307
2010-01-01,10000000.0
