Date,Unemployment
1980-01-01,1000.0
1981-01-01,364410.7438139026
1982-01-01,708653.8736028362
1983-01-01,1022219.7678243426
1984-01-01,1429490.4311805607
1985-01-01,1739682.79810717
1986-01-01,2069749.6811595121
1987-01-01,2346826.797142894
1988-01-01,2679589.7453718926
1989-01-01,3076090.579800853
1990-01-01,3409293.0615278045
1991-01-01,3711553.9689424736
1992-01-01,4064489.3554452974
1993-01-01,4467179.820148895
1994-01-01,4783809.827869012
1995-01-01,5157176.450314014
1996-01-01,5515302.43151235
1997-01-01,5818867.212219131
1998-01-01,6151695.500665025
1999-01-01,6523621.241423057
2000-01-01,6944439.718653136
2001-01-01,7345063.474880623
2002-01-01,7702650.343232138
2003-01-01,8018991.03098967
2004-01-01,8402750.0054381
2005-01-01,8799912.412794823
2006-01-01,9225260.042540353
2007-01-01,9623384.114982398
2008-01-01,10000000.0
2009-01-01,8938616.14482998
2010-01-01,6084138.990917385
