Date,Number of Wineries
1970-01-01,500.0
1971-01-01,421.93781188231605
1972-01-01,352.30949491350987
1973-01-01,356.02851322941444
1974-01-01,347.60020099973224
1975-01-01,337.660218664072
1976-01-01,328.4394748491177
1977-01-01,318.2651935800283
1978-01-01,307.2458314269879
1979-01-01,294.8567572539045
1980-01-01,285.7354460642744
1981-01-01,277.91947901973595
1982-01-01,265.53798660133646
1983-01-01,258.15667947810186
1984-01-01,248.07917749769274
1985-01-01,238.79493988445427
1986-01-01,228.7580805959488
1987-01-01,221.93532396603337
1988-01-01,214.3169165742668
1989-01-01,206.19425605664284
1990-01-01,199.16766746412773
1991-01-01,187.93640012879246
1992-01-01,176.6941805235531
1993-01-01,168.23670359134806
1994-01-01,159.72969541609572
1995-01-01,153.4029333362487
1996-01-01,145.57327452683768
1997-01-01,135.07653026858668
1998-01-01,122.56748076250034
1999-01-01,114.91262165501469
2000-01-01,106.5332270542084
2001-01-01,98.76121352179405
2002-01-01,89.2950810262959
2003-01-01,78.04641238204168
2004-01-01,69.5740767663186
2005-01-01,58.91277790139256
2006-01-01,48.52670184829946
2007-01-01,35.50209238143938
2008-01-01,26.252472900064372
2009-01-01,17.343476682328035
2010-01-01,10.0
