Date,Number of App Users
2010-01-01,499999.99999999994
2010-02-01,495751.24259996845
2010-03-01,492741.0730659766
2010-04-01,489695.17931208154
2010-05-01,485452.92289025977
2010-06-01,484381.3998134683
2010-07-01,478239.57255194464
2010-08-01,474548.48403803003
2010-09-01,470975.55237303156
2010-10-01,467688.00110456557
2010-11-01,464440.89512842445
2010-12-01,460505.9366930079
2011-01-01,456049.80370030855
2011-02-01,454738.5090481185
2011-03-01,449211.0381318914
2011-04-01,446839.62259200495
2011-05-01,443217.95834850444
2011-06-01,439662.29840752063
2011-07-01,437366.0449593119
2011-08-01,432311.9348407563
2011-09-01,428595.54597268655
2011-10-01,425469.72957753023
2011-11-01,422035.10741275793
2011-12-01,420992.70236111816
2012-01-01,418266.9742198234
2012-02-01,414843.0414711962
2012-03-01,409745.4411681875
2012-04-01,408640.3597354
2012-05-01,408814.7031249073
2012-06-01,408947.23983177467
2012-07-01,402776.12354809203
2012-08-01,399533.6633862402
2012-09-01,395150.88319994893
2012-10-01,392594.66642125446
2012-11-01,388004.7217265319
2012-12-01,388815.86169011076
2013-01-01,387150.7222224871
2013-02-01,382415.12398057303
2013-03-01,378115.16768295364
2013-04-01,375613.889035696
2013-05-01,372671.5363769092
2013-06-01,368074.91982142534
2013-07-01,364973.75045177457
2013-08-01,364949.15925935376
2013-09-01,362558.9339400568
2013-10-01,359402.5986220892
2013-11-01,356018.63786019455
2013-12-01,349873.6057700795
2014-01-01,347608.6079419191
2014-02-01,348196.00574509084
2014-03-01,349170.940116301
2014-04-01,349107.97610470885
2014-05-01,349443.1719285522
2014-06-01,348824.2313580544
2014-07-01,344939.25113838713
2014-08-01,344588.3940913332
2014-09-01,344565.5545607483
2014-10-01,341797.64884101186
2014-11-01,338014.0786965912
2014-12-01,334809.9461585412
2015-01-01,331180.7473390228
2015-02-01,326020.5047681966
2015-03-01,325565.64603466436
2015-04-01,320938.4098264597
2015-05-01,319366.9478821616
2015-06-01,313360.1649160355
2015-07-01,305384.77383947116
2015-08-01,304736.5447514713
2015-09-01,302654.97257257643
2015-10-01,303134.1565454269
2015-11-01,298841.2001241866
2015-12-01,293897.1727705707
2016-01-01,288949.98860947194
2016-02-01,283667.4363548567
2016-03-01,279819.4976502318
2016-04-01,277468.7649945194
2016-05-01,275120.6073601445
2016-06-01,269827.0748068134
2016-07-01,264043.121276052
2016-08-01,258637.3030862639
2016-09-01,259992.6778353996
2016-10-01,256440.93689114
2016-11-01,257316.07330175693
2016-12-01,252292.74867417253
2017-01-01,253080.42864280127
2017-02-01,243514.87569116626
2017-03-01,239126.80662622026
2017-04-01,235686.28611235958
2017-05-01,235010.27130130192
2017-06-01,233606.56701886255
2017-07-01,230589.9604763383
2017-08-01,227227.5453802499
2017-09-01,224023.8975871667
2017-10-01,223958.3084864148
2017-11-01,220363.85277893918
2017-12-01,219009.12507140788
2018-01-01,213351.38496825474
2018-02-01,212855.60363145883
2018-03-01,209661.9629875197
2018-04-01,205251.5480431798
2018-05-01,199786.0021292181
2018-06-01,198669.95999325463
2018-07-01,193618.93741323773
2018-08-01,189127.89690598176
2018-09-01,186830.3680394869
2018-10-01,181867.91230697313
2018-11-01,178803.14623861606
2018-12-01,176901.92266791238
2019-01-01,174265.15042607707
2019-02-01,170703.8638955909
2019-03-01,166921.6723650801
2019-04-01,164118.77529858146
2019-05-01,158080.42562028015
2019-06-01,156339.217158003
2019-07-01,152227.31173400203
2019-08-01,130305.05872917606
2019-09-01,116421.10826720673
2019-10-01,86871.12611685744
2019-11-01,64459.69391400984
2019-12-01,37786.144671671645
2020-01-01,10000.0
