Date,Unemployment
1980-01-01,28977.38402299331
1981-01-01,1000.0
1982-01-01,44497.38156246267
1983-01-01,140596.90150157057
1984-01-01,107881.43375588168
1985-01-01,188758.02631098533
1986-01-01,183724.81533461457
1987-01-01,257463.1753844222
1988-01-01,264801.4358707543
1989-01-01,211779.8713457751
1990-01-01,278151.83959509316
1991-01-01,144959.4148075344
1992-01-01,88936.46174619882
1993-01-01,140475.17709120535
1994-01-01,146021.72715900704
1995-01-01,208635.198073873
1996-01-01,193661.6564649456
1997-01-01,393241.55122432776
1998-01-01,389893.3772703665
1999-01-01,366301.7877963556
2000-01-01,370386.38312884304
2001-01-01,908778.8627015655
2002-01-01,1327631.6515503377
2003-01-01,1703634.0736914177
2004-01-01,2193685.037652271
2005-01-01,2740018.8016280984
2006-01-01,3139039.120468776
2007-01-01,3620694.915708515
2008-01-01,4035547.275283851
2009-01-01,4403196.765055226
2010-01-01,4780640.602655346
2011-01-01,5423570.1979596345
2012-01-01,6040894.131050086
2013-01-01,6501541.745077064
2014-01-01,6941787.66647125
2015-01-01,7610987.337829864
2016-01-01,8301999.48013721
2017-01-01,8865927.774734661
2018-01-01,9334573.99719394
2019-01-01,9499249.625373924
2020-01-01,10000000.0
