Date,Number of Immigrants
1960-01-01,127120.76426235207
1961-01-01,108708.7918093117
1962-01-01,105798.52800567145
1963-01-01,107058.00338338787
1964-01-01,122086.06928164873
1965-01-01,137895.95109140573
1966-01-01,116502.91102830331
1967-01-01,104930.96888391938
1968-01-01,104136.23925051809
1969-01-01,109440.23104906143
1970-01-01,100000.0
1971-01-01,119316.95477824475
1972-01-01,113138.55856206059
1973-01-01,116702.83754397932
1974-01-01,106811.56286110869
1975-01-01,113764.05949807071
1976-01-01,115874.0711504756
1977-01-01,111792.20246894496
1978-01-01,118357.84275206333
1979-01-01,103836.85670048938
1980-01-01,100102.66484540812
1981-01-01,129383.5325619596
1982-01-01,122157.66706136122
1983-01-01,129015.8110994669
1984-01-01,125426.13315843817
1985-01-01,131707.71686526484
1986-01-01,124029.42898397085
1987-01-01,123336.88908765571
1988-01-01,125361.42595842984
1989-01-01,114495.1990061953
1990-01-01,119262.8383517034
1991-01-01,166879.21571011172
1992-01-01,229935.8330312213
1993-01-01,243805.5158180682
1994-01-01,263932.4221215298
1995-01-01,309814.5292503977
1996-01-01,337324.03322581213
1997-01-01,374673.2309783972
1998-01-01,421332.21574983676
1999-01-01,454288.2848742128
2000-01-01,500252.99405693676
2001-01-01,508045.4969426149
2002-01-01,554995.2659977605
2003-01-01,586240.6101773905
2004-01-01,622009.0632358871
2005-01-01,671649.2562712729
2006-01-01,705688.6821033346
2007-01-01,697309.0747344217
2008-01-01,733961.8105510789
2009-01-01,761590.0277375994
2010-01-01,814999.2846679566
2011-01-01,874455.7410475637
2012-01-01,925083.4285027784
2013-01-01,958930.806248825
2014-01-01,998409.5952729555
2015-01-01,1024530.9045792806
2016-01-01,1081048.0085288645
2017-01-01,1145120.585196653
2018-01-01,1378764.6763624034
2019-01-01,1681306.734097794
2020-01-01,2000000.0
