Date,Stock Price ($)
1970-01-01,295.23104205620973
1971-01-01,298.56410816781266
1972-01-01,298.98916065443495
1973-01-01,298.82602203115175
1974-01-01,300.2775883923602
1975-01-01,298.5785347530235
1976-01-01,295.2021112113858
1977-01-01,290.93423601700533
1978-01-01,293.744087160151
1979-01-01,296.9068352639713
1980-01-01,297.96572089001626
1981-01-01,247.6015502056952
1982-01-01,173.60668812918283
1983-01-01,100.0
1984-01-01,168.88460179451704
1985-01-01,239.36157781319193
1986-01-01,308.51958427261656
1987-01-01,288.78726158587006
1988-01-01,286.707471345107
1989-01-01,283.0135918028192
1990-01-01,279.09278000893966
1991-01-01,279.03874124300984
1992-01-01,280.1537057290991
1993-01-01,277.00028359048827
1994-01-01,278.22707476389803
1995-01-01,281.4611674134272
1996-01-01,291.5193024096443
1997-01-01,301.8484091777668
1998-01-01,314.0089437463573
1999-01-01,326.01923397995074
2000-01-01,332.7830717164639
2001-01-01,342.8942029769117
2002-01-01,350.27528893856197
2003-01-01,361.304183561108
2004-01-01,371.3548066221735
2005-01-01,380.7086177813594
2006-01-01,393.85524017317135
2007-01-01,401.36797778229555
2008-01-01,409.8177918211049
2009-01-01,414.3121708605291
2010-01-01,419.28302195751684
2011-01-01,427.46799128370697
2012-01-01,436.31987156499497
2013-01-01,443.30313762785323
2014-01-01,448.06116641212935
2015-01-01,457.33743402036623
2016-01-01,467.89085563694147
2017-01-01,472.43982055280236
2018-01-01,482.3374460025921
2019-01-01,492.82099866300496
2020-01-01,500.0
