Date,Number of Tourists
1970-01-01,1981658.2602282148
1971-01-01,2000000.0
1972-01-01,1989825.2049852666
1973-01-01,1971565.931952216
1974-01-01,1964903.6523127484
1975-01-01,1949421.497099706
1976-01-01,1947562.7149847972
1977-01-01,1945263.5502352603
1978-01-01,1914815.813323319
1979-01-01,1888504.6168355003
1980-01-01,1880154.4897847595
1981-01-01,1891772.7191136982
1982-01-01,1870858.0339795097
1983-01-01,1869640.5737788528
1984-01-01,1881263.776301697
1985-01-01,1885671.055958719
1986-01-01,1888718.4094538093
1987-01-01,1897003.1883917258
1988-01-01,1918683.1066787366
1989-01-01,1921975.3618479297
1990-01-01,1924340.7935899657
1991-01-01,1661873.7716697387
1992-01-01,1585840.5618997128
1993-01-01,1551773.7182265774
1994-01-01,1436897.693351443
1995-01-01,1395001.9546927433
1996-01-01,1309568.560354432
1997-01-01,1246164.1936575319
1998-01-01,1160045.2592421381
1999-01-01,1051894.3727623736
2000-01-01,963425.4956356086
2001-01-01,923681.8620092974
2002-01-01,784369.751885584
2003-01-01,670739.7502279558
2004-01-01,642138.9101811638
2005-01-01,551552.2714854516
2006-01-01,496002.89639632864
2007-01-01,389013.39426743856
2008-01-01,284811.45103383844
2009-01-01,205168.4527737701
2010-01-01,100000.0
