Date,Number of Immigrants
1960-01-01,2000000.0
1961-01-01,1799564.529419314
1962-01-01,1547261.2333253282
1963-01-01,1239958.0131158917
1964-01-01,1171413.2984963674
1965-01-01,1171670.3850175834
1966-01-01,1156230.3916430857
1967-01-01,1160967.1524141172
1968-01-01,1170688.2323389563
1969-01-01,1167005.8601029005
1970-01-01,1161225.5901503188
1971-01-01,1151786.4453612892
1972-01-01,1150770.8431709576
1973-01-01,1156719.722820751
1974-01-01,1159485.743098634
1975-01-01,1140156.200919462
1976-01-01,1150263.1672248065
1977-01-01,1144209.7810251103
1978-01-01,1147920.1469650804
1979-01-01,1153491.0461199656
1980-01-01,1149097.5196525175
1981-01-01,1158772.1992075879
1982-01-01,1146593.3281161212
1983-01-01,1136223.2809444428
1984-01-01,1126912.1385712663
1985-01-01,1112935.9718164152
1986-01-01,1111455.032954416
1987-01-01,1101611.5975652987
1988-01-01,1104809.3886916118
1989-01-01,1104217.5005041943
1990-01-01,1142339.926877985
1991-01-01,1124787.131777911
1992-01-01,1062836.1674160757
1993-01-01,1028456.2519994869
1994-01-01,1006794.9071949548
1995-01-01,987145.069190872
1996-01-01,959664.0045512245
1997-01-01,897107.1052702132
1998-01-01,865580.2465779977
1999-01-01,822563.1725816926
2000-01-01,774770.0292405421
2001-01-01,753269.6806156806
2002-01-01,717089.8565331146
2003-01-01,695077.1087343362
2004-01-01,671822.142314964
2005-01-01,636861.1220048222
2006-01-01,613067.1040951603
2007-01-01,601521.9887775279
2008-01-01,555670.0286103849
2009-01-01,501741.7770919959
2010-01-01,465869.38166595576
2011-01-01,431137.35342890007
2012-01-01,372142.7140631726
2013-01-01,357160.4888905664
2014-01-01,322256.69053011097
2015-01-01,276027.37409769936
2016-01-01,261688.86417261913
2017-01-01,219514.58287869213
2018-01-01,177817.00813817067
2019-01-01,137740.54031402865
2020-01-01,100000.0
