Date,Number of Crimes
1990-01-01,1740.971712545394
1991-01-01,2295.0373837998786
1992-01-01,2894.0013564097817
1993-01-01,3437.9674389156057
1994-01-01,3813.217211511567
1995-01-01,4332.394836601644
1996-01-01,4764.04946017413
1997-01-01,5225.927542806404
1998-01-01,5874.1319891555995
1999-01-01,6295.860990744256
2000-01-01,6817.876130670599
2001-01-01,7275.660334884468
2002-01-01,7727.094855762964
2003-01-01,8381.271871079945
2004-01-01,4852.2954488838595
2005-01-01,1000.0
2006-01-01,1770.8028428500775
2007-01-01,5995.681704665497
2008-01-01,10000.0
2009-01-01,9681.957526530623
2010-01-01,9627.622184326447
2011-01-01,9558.100017402083
2012-01-01,9596.662850482817
2013-01-01,9685.926373085918
2014-01-01,9755.56116094541
2015-01-01,9699.102875353557
2016-01-01,9669.765751657127
2017-01-01,9595.084321609942
2018-01-01,9654.418463715974
2019-01-01,9682.627684284753
2020-01-01,9676.702629503794
