Date,Gold Price ($/gram)
1990-01-01,200.0
1991-01-01,354.5568586434965
1992-01-01,479.7171859126619
1993-01-01,587.4293965531126
1994-01-01,688.3026308881515
1995-01-01,736.8171855630167
1996-01-01,865.8179689683565
1997-01-01,998.3946243745772
1998-01-01,1079.1933091367036
1999-01-01,1169.2019952462638
2000-01-01,1315.6607656773058
2001-01-01,1438.6944727022114
2002-01-01,1571.1603450036944
2003-01-01,1719.2635537438098
2004-01-01,1825.2330250105654
2005-01-01,2000.0
2006-01-01,1924.0364905830395
2007-01-01,1804.1870995068466
2008-01-01,1688.7082001069232
2009-01-01,1574.7653185257143
2010-01-01,1453.4374546269196
2011-01-01,1335.2228571334833
2012-01-01,1192.8394048619662
2013-01-01,1103.6513446733777
2014-01-01,986.2138882247929
2015-01-01,874.142972984568
2016-01-01,760.8238740418096
2017-01-01,602.9823579419624
2018-01-01,524.5373989190416
2019-01-01,418.04877958004556
2020-01-01,297.4666927262943
