Date,Sports Game Attendance
2000-01-01,20000.0
2001-01-01,16713.887633648053
2002-01-01,14477.062845504735
2003-01-01,12598.716293558491
2004-01-01,11005.436766628474
2005-01-01,9363.194507939108
2006-01-01,7824.752122933187
2007-01-01,6478.365448732415
2008-01-01,5071.2274340748045
2009-01-01,3420.299422759009
2010-01-01,2000.0
2011-01-01,2489.7506675709233
2012-01-01,2524.201536821419
2013-01-01,2474.735752387046
2014-01-01,2495.332237182565
2015-01-01,2505.6978675051987
2016-01-01,2564.0947908601574
2017-01-01,2394.264254215058
2018-01-01,2668.1939117322922
2019-01-01,2664.2638919080077
2020-01-01,2915.92908842442
