Date,Sports Game Attendance
2000-01-01,15666.493687013333
2001-01-01,14242.057693985029
2002-01-01,12893.910605341687
2003-01-01,11539.03361230612
2004-01-01,10143.058646823596
2005-01-01,20000.0
2006-01-01,16740.885241459888
2007-01-01,5668.521902532773
2008-01-01,4626.50500152789
2009-01-01,3324.7557087683435
2010-01-01,2000.0
2011-01-01,2039.411433214429
2012-01-01,2207.3634122566223
2013-01-01,2183.939544541555
2014-01-01,2255.612104584742
2015-01-01,2671.082435923342
2016-01-01,2673.264476591792
2017-01-01,2617.3207233722705
2018-01-01,2543.4094372982827
2019-01-01,2345.712875750112
2020-01-01,2358.1067021806766
