Date,Median Household Income ($)
1980-01-01,80000.0
1981-01-01,77993.66899709693
1982-01-01,75972.85315759454
1983-01-01,73864.69585192605
1984-01-01,72743.32549697868
1985-01-01,70970.99799395204
1986-01-01,68759.2376402148
1987-01-01,67359.48135933008
1988-01-01,65662.07756838445
1989-01-01,63128.63267973853
1990-01-01,61026.04641972587
1991-01-01,59230.774912727866
1992-01-01,56719.83394207166
1993-01-01,54644.09118281639
1994-01-01,52346.31612555405
1995-01-01,50002.20795451347
1996-01-01,49893.97509516799
1997-01-01,49805.068239962784
1998-01-01,49548.363139706795
1999-01-01,49402.43340521764
2000-01-01,49223.60535741251
2001-01-01,49646.27886515779
2002-01-01,49741.86143786131
2003-01-01,49178.57867146436
2004-01-01,49407.38696225972
2005-01-01,49366.19461064856
2006-01-01,49288.522094614076
2007-01-01,49145.369438111185
2008-01-01,48843.663875836995
2009-01-01,38656.86637338418
2010-01-01,20000.0
