Date,Number of Employees
1990-01-01,7199.50737668651
1991-01-01,6569.788053104063
1992-01-01,6091.33447561945
1993-01-01,5459.687553707784
1994-01-01,4820.8107556530495
1995-01-01,4242.372846535416
1996-01-01,3643.0322713608293
1997-01-01,3052.843054402902
1998-01-01,2322.0218241461403
1999-01-01,1739.51516756628
2000-01-01,1000.0
2001-01-01,1525.0850605193739
2002-01-01,2127.1226350316538
2003-01-01,2738.35304197837
2004-01-01,3313.8546160812334
2005-01-01,8040.440148107233
2006-01-01,10000.0
2007-01-01,5015.241353380052
2008-01-01,5809.788046838214
2009-01-01,6478.758765543801
2010-01-01,7127.172995206567
