Date,National Debt ($)
1980-01-01,1000000000000.0
1981-01-01,9925981594145.504
1982-01-01,21127253455455.35
1983-01-01,23338885425671.79
1984-01-01,21235030327368.28
1985-01-01,20480784955419.754
1986-01-01,19248576079142.855
1987-01-01,18257580980490.89
1988-01-01,17038682774331.057
1989-01-01,15579997254138.305
1990-01-01,14142093729176.268
1991-01-01,13225314863231.812
1992-01-01,12466468184073.611
1993-01-01,11408415280067.291
1994-01-01,9873994070192.549
1995-01-01,8442559077086.981
1996-01-01,7190869384692.513
1997-01-01,5760847872289.051
1998-01-01,4285542887735.516
1999-01-01,2799972194425.6724
2000-01-01,1540576603630.2405
2001-01-01,2861778952400.915
2002-01-01,4229225150576.275
2003-01-01,5898186040511.0205
2004-01-01,7256178199660.888
2005-01-01,7859343765682.1455
2006-01-01,9304807359712.59
2007-01-01,10892293185712.695
2008-01-01,12014332296787.586
2009-01-01,13499354717942.67
2010-01-01,15416258117198.787
2011-01-01,16806519757988.736
2012-01-01,18476811844701.297
2013-01-01,20167704325338.73
2014-01-01,21392484194443.02
2015-01-01,22483239037097.164
2016-01-01,23851270224841.49
2017-01-01,25611361732997.613
2018-01-01,27176761777349.2
2019-01-01,28481188454193.047
2020-01-01,30000000000000.0
